Date,NGDP,WSGDP,COFS,Tax,DR,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,energyPrice,indexInstitute,indexBureau,indexPayment,indexDemocracy,UNEMPL,INFL,RealInc,bvQ1,bvQ2,bvQ3,bvCrisis,M1,M2,M0,CH,NPLa,NPLp,SID,CM,vTax
2009 Q1,8334.63278188157,58,3777.956,14.7,7.8,42.4807601917564,8.45,8791.38611297765,8093.17444638769,811.6648511875,1011340.25,118131.425,1350.75,-1.93257546746692,-0.201978438296312,-2.56627374930364,-1.5736919771404,9.1,5.42227927550001,16543.9412995629,1,0,0,0,6583.221,11581.6,3278.3,368065,511.478232,3.65632785515814,1475.152,32.6203287974028,1225.19101893659
2009 Q2,9244.82882074237,54.5,3258.771,15.9,8.7,43.407476560318,8.4,8306.84091586306,8615.46996880201,768.949821625,999934.3,119128.85,1417.5,-1.94478584746679,-0.165716090705812,-2.55883429523592,-1.52494556020511,8.53333333333333,1.87151659799998,17150.6614665164,0,1,0,0,7202.134,12650.5,3522.5,395891,630.147342,4.53502631097021,1529.309,25.760017390617,1469.92778249804
2009 Q3,10411.3339559884,49.2,3507.605,17.7,9,44.3341929288796,8.35,7822.29571874846,9137.76549121633,726.2347920625,988528.35,120126.275,1484.25,-1.95699622746667,-0.129453743115311,-2.48358252763837,-1.47619914326983,7.83333333333333,0.599810999999995,17283.5025913792,0,0,1,0,7305.271,13101.9,3485.6,394518,766.63429,5.51847033147466,1763.268,26.7717277646754,1842.80611020994
2009 Q4,10816.4230163438,50.1,3470.534,18.1,8.7,45.2609092974413,8.3,7337.75052163387,9660.06101363065,683.5197625,977122.4,121123.7,1551,-1.96920660746655,-0.0931913955248107,-2.39220123622516,-1.42745272633454,8.03333333333333,0.70118899999998,18998.6849105667,0,0,0,0,8325.687,15267.6,4038.1,416653,835.134835,6.01851205643555,2094.731,22.7313657680317,1957.77256595823
2010 Q1,9995.75825875646,52.9,4023.385,17.6,7.4,44.6556932853822,8.15,7579.66648291312,9774.40937686731,719.45246925,987999.925,122616.4,1548,-1.95972392296204,-0.100963133866412,-2.31759946210468,-1.44887162972335,8.8,3.15994285519998,17360.9058045615,1,0,0,0,8338.216,15639.4,3986.1,423321,871.640647,6.22907027304626,2177.067,25.7259549599089,1759.25345354114
2010 Q2,10977.0352607229,51.3,3969.341,18.3,6.2,44.0504772733232,8,7821.58244419237,9888.75774010397,755.385176,998877.45,124109.1,1545,-1.95024123845754,-0.108734872208013,-1.87962767101752,-1.47029053311216,7.43333333333333,1.18453665499998,18323.5253564636,0,1,0,0,9049.099,16900.9,4367.7,432994,921.33866,6.36795781578604,2228.749,23.4859741197214,2008.79745271229
2010 Q3,12086.4639587802,48,4351.504,17.6,5.4,43.4452612612642,7.85,8063.49840547161,10003.1061033406,791.31788275,1009754.975,125601.8,1542,-1.94075855395303,-0.116506610549615,-1.64319860435059,-1.49170943650096,6.8,1.759640632,18198.7761088162,0,0,1,0,9447.134,17690.2,4524.5,458319,942.867226,6.21421462934073,2498.32,24.5983878079389,2127.21765674531
2010 Q4,13249.2837114363,47.4,4509.157,17.7,5,42.8400452492052,7.7,8305.41436675086,10117.4544665773,827.2505895,1020632.5,127094.5,1539,-1.93127586944852,-0.124278348891217,-1.55274648668798,-1.51312833988977,6.9,2.40824173999998,19849.467196814,0,0,0,0,10859.9,20011.9,5062.7,443591,886.187919,5.50273684235463,2940.392,22.5323782349502,2345.12321692422
2011 Q1,13024.7995390248,46.4,5049.876,13.9,4.4,42.5546854323958,7.7,9070.97393072757,10319.4952045173,865.599391,1025754.9,128043.2,1632.7775,-1.93145378472927,-0.109376268368314,-1.48290774556789,-1.52861347209269,7.5,3.80813061320002,17381.8187534219,1,0,0,0,10489.4,19788.7,4918.2,465455,891.477343,5.31779790265238,3219.603,25.5189881093756,1810.44713592445
2011 Q2,14434.8223058143,44.7,4903.415,15.3,4.1,42.2693256155864,7.7,9836.53349470428,10521.5359424573,903.9481925,1030877.3,128991.9,1726.555,-1.93163170001002,-0.0944741878454115,-1.3383879219888,-1.54409860429561,6.56666666666667,1.14416174719998,18633.7896327496,0,1,0,0,10961.4,20721.9,5192.2,484015,950.225414,5.32586401036495,3585.095,23.6629604428165,2208.52781278958
2011 Q3,15745.5835665553,42.4,5178.107,14.5,4,41.983965798777,7.7,10602.093058681,10723.5766803973,942.296994,1035999.7,129940.6,1820.3325,-1.93180961529078,-0.0795721073225089,-1.19509694727006,-1.55958373649853,6.2,-0.289876009599987,18847.7704981779,0,0,1,0,11359.1,21480.4,5420.4,472496,1005.569972,5.15312845055356,3995.038,24.106194484274,2283.10961715051
2011 Q4,16908.7954270198,42.6,5406.157,14.5,5.2,41.6986059819676,7.7,11367.6526226577,10925.6174183373,980.6457955,1041122.1,130889.3,1914.11,-1.93198753057153,-0.0646700267996063,-0.96604420791461,-1.57506886870144,6.26666666666667,1.34598487039999,21427.0484606341,0,0,0,0,12756.9,24204.8,5938.6,453952,994.103338,4.64891963640227,4190.553,22.3350616406663,2451.77533691787
2012 Q1,15182.7763973366,46.1,5921.011,14.5,5.5,42.2524445471775,7.6,11739.6246222732,11417.9597504201,1000.479909125,1046671.45,132448.625,1918.955,-1.92528384675657,-0.0796895197457464,-0.819250696752074,-1.35657347315778,4.73333333333333,1.45690672999998,19158.5280606306,1,0,0,0,12210,23747.8,5704.3,465664,1064.742832,4.8659618332828,4291.702,24.9328822038252,2201.50257761381
2012 Q2,16435.9955688377,45.3,5691.008,15.7,5.4,42.8062831123874,7.5,12111.5966218888,11910.3020825028,1020.31402275,1052220.8,134007.95,1923.8,-1.9185801629416,-0.0947090126918864,-0.584583183907107,-1.13807807761412,4.06666666666667,1.7290133468,20484.1692591432,0,1,0,0,12567,24461,6003.9,467992,1080.745031,4.64827545362247,4423.59,23.2656391807367,2580.45130430752
2012 Q3,17715.7879353873,43,5989.26,13.7,5.3,43.3601216775973,7.4,12483.5686215043,12402.6444145856,1040.148136375,1057770.15,135567.275,1928.645,-1.91187647912664,-0.109728505638026,-0.434278837235903,-0.919582682070463,3.86666666666667,1.888551765,19786.4126392955,0,0,1,0,12331.6,24437.8,5969.2,476380,1133.203873,4.55706406554811,4463.663,24.5081799507321,2427.06294714806
